protocol,order_id,rankf_order,brittle_outcome,candidate,score,position
clean,01,A:C:D:B,PASS,D,1.3333333333333333,1
clean,01,A:C:D:B,PASS,C,0.83333333333333326,2
clean,01,A:C:D:B,PASS,A,0.66666666666666663,3
clean,02,C:D:B:A,FAIL,D,0.83333333333333326,1
clean,02,C:D:B:A,FAIL,A,0.66666666666666663,2
clean,02,C:D:B:A,FAIL,C,0.33333333333333326,3
clean,03,D:B:C:A,FAIL,A,0.66666666666666663,1
clean,03,D:B:C:A,FAIL,C,0.33333333333333326,2
clean,03,D:B:C:A,FAIL,D,-0.16666666666666674,3
clean,04,C:A:D:B,PASS,A,1,1
clean,04,C:A:D:B,PASS,C,0.66666666666666652,2
clean,04,C:A:D:B,PASS,D,0.16666666666666657,3
reused,01,A:C:D:B,PASS,D,1.3333333333333333,1
reused,01,A:C:D:B,PASS,C,0.83333333333333326,2
reused,01,A:C:D:B,PASS,A,0.66666666666666663,3
reused,02,C:D:B:A,PASS,D,1.8333333333333333,1
reused,02,C:D:B:A,PASS,C,1.3333333333333333,2
reused,02,C:D:B:A,PASS,A,0.66666666666666663,3
reused,03,D:B:C:A,PASS,D,2.833333333333333,1
reused,03,D:B:C:A,PASS,C,1.3333333333333333,2
reused,03,D:B:C:A,PASS,A,0.66666666666666663,3
reused,04,C:A:D:B,PASS,D,3.1666666666666665,1
reused,04,C:A:D:B,PASS,C,1.6666666666666665,2
reused,04,C:A:D:B,PASS,A,1,3
